input,output
"Sad / Down: I'm feeling really low today, but I don't know where to turn","I hear you, and I want you to know that your feelings won't last forever, even though they feel overwhelming now."
"Sad / Down: Nothing seems to be going right, but I keep putting on a brave face","I'm sorry things feel so heavy. Remember that you're not alone, and it's okay to reach out for support."
"Sad / Down: I feel like I'm not good enough. I can't remember the last time I felt happy","Thank you for sharing. Your honesty is a strength, and you're taking important steps toward healing."
"Sad / Down: I feel so disconnected from everyone, but I'm trying my best","I want you to know that your feelings are real and important. You don't have to go through this alone."
"Sad / Down: I'm so tired of feeling this way","I understand that everything feels heavy right now. Small steps are still progress, even when they don't feel like it."
"Sad / Down: I'm having trouble seeing the good in anything. I wish I could just make it stop. It feels never-ending","It's okay to not be okay. What you're feeling is a natural human experience, and you deserve compassion and understanding."
"Sad / Down: I feel abandoned. I don't want to burden anyone with this","I'm sorry you're struggling. Remember that it's okay to ask for support when you need it."
"Sad / Down: I'm so tired of feeling this way","I hear you, and I want you to know that feeling down doesn't make you a burden. You matter."
"Sad / Down: I'm struggling to get through each day. I want to feel better","I hear you, and I want you to know that feeling down doesn't make you a burden. You matter."
"Sad / Down: I'm feeling really low today, but I keep putting on a brave face","Thank you for sharing how you feel. Remember that seeking support is a sign of strength, not weakness."
"Sad / Down: I feel like my world is falling apart","I hear you, and I want you to know that your feelings won't last forever, even though they feel overwhelming now."
"Sad / Down: I'm drowning in my own thoughts, but nobody can see how much I'm hurting","Thank you for trusting yourself enough to express these feelings. That's an important act of self-care."
"Sad / Down: I feel like I'm failing at everything. It feels never-ending","Thank you for sharing how you feel. Remember that seeking support is a sign of strength, not weakness."
"Sad / Down: I feel like a burden to everyone. I can't remember the last time I felt happy. It feels never-ending","Your feelings deserve to be acknowledged. You're doing the best you can with what you have right now."
"Sad / Down: Nothing makes me happy anymore","Thank you for being honest about your feelings. It's brave to face these emotions rather than push them away."
"Sad / Down: Everything feels overwhelming right now","Thank you for being vulnerable. What you're feeling is part of being human, and you're not alone."
"Sad / Down: I'm having a really hard time. I'm afraid to reach out for help. It feels never-ending","Thank you for being honest about your feelings. It's brave to face these emotions rather than push them away."
"Sad / Down: I feel broken inside","Thank you for sharing how you're feeling. What you're going through sounds really difficult, and it takes courage to acknowledge these emotions."
"Sad / Down: I can't seem to find joy in anything anymore","I want you to know that your feelings are real and important. You don't have to go through this alone."
"Sad / Down: I'm having a really hard time, but nobody can see how much I'm hurting","Your emotions are real and important. It's okay to take the time you need to process how you're feeling."
"Sad / Down: I'm feeling really vulnerable right now","Your feelings are understandable given what you're going through. Remember that healing isn't linear."
